ID,z_spec,ebvgas,ebvgas_err_plus,ebvgas_err_minus,logMstar,logMstar_err_plus,logMstar_err_minus,logSFR_SED,logSFR_SED_err_plus,logSFR_SED_err_minus,logSFR_Ha,logSFR_Ha_err_plus,logSFR_Ha_err_minus,densp,densp_err_plus,densp_err_minus,temotp,temotp_err_plus,temotp_err_minus,temop,temop_err_plus,temop_err_minus,O_H,O_H_err_plus,O_H_err_minus
GOODSN-30274,1.7997,0.037,0.011,0.012,7.50,0.01,0.01,0.08,0.01,0.10,0.30,0.01,0.01,310,1300,310,14090,420,520,<25570,, ,7.99,0.05,0.03
GOODSN-30564,2.4828,0.523,0.006,0.005,9.93,0.12,0.11,2.01,0.17,0.11,1.62,0.01,0.01,550,50,50,<10430,, ,8790,260,240,8.57,0.07,0.07
GOODSN-30811,2.3067,0.103,0.012,0.012,9.42,0.02,0.04,0.42,0.09,0.08,0.51,0.01,0.01,590,190,170,11310,700,740,10170,1210,1020,8.32,0.13,0.10
GOODSN-100026,7.2043,0.000,0.114,0.000,8.64,0.17,0.27,0.25,0.05,0.08,0.57,0.17,0.02,---,, ,18570,2270,1500,---,, ,7.64,0.09,0.11
GOODSN-100163,6.7479,0.295,0.078,0.068,7.75,0.16,0.04,1.35,0.27,0.24,0.99,0.08,0.07,---,, ,21800,3430,3130,---,, ,7.68,0.14,0.11
GOODSN-927605,4.0480,0.064,0.078,0.064,8.68,0.02,0.08,1.03,0.04,0.11,0.83,0.11,0.09,---,, ,16090,880,750,---,, ,7.76,0.05,0.06
COSMOS-3324,2.3077,0.438,0.019,0.018,10.64,0.09,0.01,1.68,0.13,0.30,1.93,0.02,0.02,120,100,90,<30690,, ,9810,1030,950,8.30,0.22,0.20
COSMOS-3632,1.9201,0.165,0.013,0.015,8.08,0.01,0.06,0.55,0.05,0.01,0.40,0.01,0.02,<590,, ,13220,1580,1810,<8320,, ,8.13,0.18,0.13
COSMOS-4029,2.0765,0.147,0.006,0.006,8.44,0.01,0.07,0.90,0.10,0.01,1.02,0.01,0.01,160,90,80,12190,230,210,12060,900,870,8.21,0.03,0.03
COSMOS-4156,2.1897,0.000,0.117,0.000,8.66,0.09,0.03,1.13,0.02,0.12,0.78,0.01,0.01,420,110,110,14020,170,170,10380,1010,950,8.08,0.06,0.04
COSMOS-4205,1.8368,0.149,0.004,0.004,8.33,0.01,0.01,0.91,0.01,0.10,0.81,0.01,0.01,170,60,60,12760,140,150,13690,910,770,8.16,0.02,0.02
COSMOS-4210,2.8280,0.185,0.026,0.027,9.36,0.01,0.13,0.31,0.27,0.02,0.36,0.03,0.03,<690,, ,13240,1120,1080,<11820,, ,8.07,0.11,0.09
COSMOS-4429,2.1023,0.150,0.018,0.018,8.93,0.29,0.15,0.70,0.13,0.48,0.23,0.02,0.02,310,310,240,12640,1330,1420,<9470,, ,8.07,0.16,0.12
COSMOS-4622,1.6400,0.775,0.013,0.011,9.46,0.58,0.21,2.76,0.05,3.16,0.86,0.01,0.01,760,190,170,<29290,, ,9240,870,910,8.37,0.24,0.19
COSMOS-4740,3.1556,0.495,0.009,0.009,10.05,0.09,0.47,1.61,1.10,0.10,1.72,0.01,0.01,720,90,100,13320,1000,1010,9340,540,540,8.29,0.10,0.08
COSMOS-5283,2.1742,0.103,0.004,0.004,9.47,0.03,0.11,1.25,0.13,0.04,1.34,0.01,0.01,260,40,40,11680,220,240,10680,350,370,8.27,0.03,0.02
COSMOS-5571,2.2784,0.296,0.008,0.009,10.26,0.02,0.01,1.29,0.01,0.01,1.49,0.01,0.01,160,40,40,<11280,, ,9310,420,410,8.46,0.10,0.10
COSMOS-5901,2.3963,0.263,0.014,0.014,9.90,0.13,0.08,1.46,0.17,0.09,1.08,0.01,0.02,100,60,50,<14520,, ,9440,900,760,8.39,0.19,0.18
COSMOS-6825,1.9748,0.133,0.013,0.013,8.72,0.03,0.07,1.18,0.05,0.09,0.78,0.02,0.02,---,, ,11720,460,480,15110,1590,1580,8.08,0.05,0.04
COSMOS-7883,2.1532,0.011,0.011,0.010,9.45,0.02,0.31,0.67,0.41,0.01,0.64,0.01,0.01,220,110,100,11900,790,750,13370,2010,1730,8.10,0.10,0.06
COSMOS-8363,3.2475,0.140,0.008,0.008,9.62,0.16,0.14,1.37,0.13,0.20,1.36,0.01,0.01,300,80,90,9610,370,380,12750,980,910,8.39,0.06,0.05
COSMOS-8442,1.6053,0.125,0.008,0.008,8.99,0.13,0.15,1.05,0.15,0.14,0.49,0.01,0.01,10,50,10,9460,810,980,---,, ,8.35,0.16,0.13
COSMOS-419213,6.8090,0.118,0.070,0.064,7.77,0.36,0.48,-0.03,0.59,0.18,0.43,0.07,0.07,---,, ,30220,6370,5860,---,, ,7.16,0.17,0.05
COSMOS-440430,5.5207,0.000,0.000,0.000,8.48,0.65,0.09,1.70,0.85,1.71,0.05,0.02,0.02,1390,3710,1180,17610,2800,2610,---,, ,7.84,0.25,0.16
COSMOS-443467,5.5039,0.041,0.068,0.041,8.79,1.17,0.49,1.99,0.69,3.97,0.42,0.07,0.04,---,, ,18840,1450,1240,---,, ,7.81,0.07,0.07
